,fecha,t-4,t-3,t-2,t-1,year,month,day,y,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
4,05/01/13,0.194969,0.245283,0.283019,0.251572,2013,1,5,0.27044,0,0,1,0,0,0,0
5,06/01/13,0.245283,0.283019,0.251572,0.27044,2013,1,6,0.232704,0,0,0,1,0,0,0
6,07/01/13,0.283019,0.251572,0.27044,0.232704,2013,1,7,0.427673,0,1,0,0,0,0,0
7,08/01/13,0.251572,0.27044,0.232704,0.427673,2013,1,8,0.433962,0,0,0,0,0,1,0
8,09/01/13,0.27044,0.232704,0.427673,0.433962,2013,1,9,0.622642,0,0,0,0,0,0,1
9,10/01/13,0.232704,0.427673,0.433962,0.622642,2013,1,10,0.798742,0,0,0,0,1,0,0
10,11/01/13,0.427673,0.433962,0.622642,0.798742,2013,1,11,0.440252,1,0,0,0,0,0,0
11,12/01/13,0.433962,0.622642,0.798742,0.440252,2013,1,12,0.320755,0,0,1,0,0,0,0
12,13/01/13,0.622642,0.798742,0.440252,0.320755,2013,1,13,0.333333,0,0,0,1,0,0,0
13,14/01/13,0.798742,0.440252,0.320755,0.333333,2013,1,14,0.660377,0,1,0,0,0,0,0
14,15/01/13,0.440252,0.320755,0.333333,0.660377,2013,1,15,0.742138,0,0,0,0,0,1,0